Arbuz,owoc,zielony,pestki,deser,sałatka
Atrakcja,rozrywka,wycieczka,atrakcyjny,miejsce,przyciąga
Aplikacja,mobilna,program,telefon,komputer,korzystać
Awokado,owoc,zielony,miękki,zdrowy,guacamole
Autobus,transport,podróż,kierowca,pasażerowie,przystanek
Akumulator,prąd,bateria,energii,elektronika,ładować
Archipelag,wyspy,morze,kontynent,krajobraz,oceany
Armagedon,apokalipsa,koniec,zagłada,katastrofa,świat
Astronomia,kosmos,gwiazdy,planety,teleskop,nauka
Ananas,owoc,tropikalny,żółty,świeży,sok
Antybiotyk,leczenie,bakterie,chory,dawkowanie,apteka
Album,muzyka,płyta,wydanie,fotografie,pamiątka
Apteka,lekarstwa,lek,ratownicza,recepta,aptekarz
Anegdota,śmieszna,opowieść,anegdotyczny,wydarzenie,anegdotyka
Alfabet,litery,porządek,pisanie,alfabetycznie,książka
Anioł,niebiański,skrzydła,anioły,aniołek,boski
Aspiryna,ból,lek,gorączka,dawkowanie,apteka
Audiencja,spotkanie,publiczność,audytorium,dyskusja,palące pytania
Aranżacja,dekoracja,układ,schemat,planowanie,projektowanie
Atak,atakować,uderzenie,zaskoczenie,agresywny,atakujący
Artykuł,pisarstwo,prasa,nieformalny,artykułować,gazeta
Awanturnik,odważny,eksplorator,ryzykować,przygoda,wędrówka
Autor,pisarz,tworzyć,literacki,książka,opowieść
Arystokracja,szlachetny,bogaci,rodzina,wysoka pozycja,monarchia
Astma,choroba,oskrzela,astmatyczny,schorzenie,leki
Apartament,mieszkanie,luksusowy,pokoje,wygodny,wnętrza
Ambulans,ratowniczy,przewóz,leczenie,szybko,skrajny przypadek
Aromat,przyjemny,woń,zapach,perfumy,kuchnia
Azyl,bezpieczny,schronienie,chronić,przymusowy,uczucia
Apetyt,głód,ochota,smak,pożywienie,zjadanie
Adopcja,adopcyjny,przysposobienie,rodzina,opieka,dziecko
Aktorka,aktorstwo,scena,teatr,rola,wyraz twarzy
Alergia,reakcja alergiczna,uczulenie,wrażliwość,reakcja,leki
Aktualizacja,nowy,wersja,zmiany,ulepszenie,nowości
Awaria,usterka,problem,uszkodzenie,defekt,błąd
Afisz,plakat,reklama,ogłoszenie,zapowiedź,wydarzenie
Amnestia,układać,pomijać,zapominać,przebaczenie,zwolnienie
Aresztować,zatrzymać,areszt,polować,chwycić,wynająć
Apelować,zwracać się,prosić,wołać,zachęcać,apel
Architekt,projekt,projektowanie,budynek,urbanistyka,historia
Alienacja,odłączenie,obcość,osobisty,emocjonalny,odrębność
Armia,wojsko,żołnierz,bronienie,obrona,taktyka
Aranżować,układać,planować,wykreować,przygotowywać,projektować
Adrenalina,energia,ekscytacja,wzburzenie,podniecenie,przygoda
Agresja,atak,walka,negatywny,spór,konflikt
Architektura,projekt,projektowanie,budynek,urbanistyka,historia
Anarchia,chaos,zakłócenie,bezład,bunt,rozgardiasz
Agonia,cierpienie,śmierć,ból,wytrzymać,stan umierania
Anonimowość,nieznany,poufny,tajemnica,ukryć,tożsamość
Ambicja,aspiracja,dążenie,pragnienie,osiągnięcie,powód
Apartamentowiec,biurowiec,mieszkanie,kamienica,budynek,blok
